,timestamp,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
3351,2023/1/9 23:00,1.67331E+12,17204.83,17205.57,17128,17178.26,7492.88002,1.67331E+12,128689230.8,172855,3614.26798,62077442.3,0
3352,2023/1/10 0:00,1.67331E+12,17179.04,17220.29,17178.19,17219.19,7195.9706,1.67331E+12,123762202.1,178625,3709.59911,63798970.78,0
3353,2023/1/10 1:00,1.67331E+12,17219.19,17235,17188.31,17194.39,8619.72528,1.67332E+12,148325692.9,190846,4165.49643,71679371.69,0
3354,2023/1/10 2:00,1.67332E+12,17193.97,17215,17146.34,17185.94,9620.79785,1.67332E+12,165300045.2,228943,4763.46735,81844910.09,0
3355,2023/1/10 3:00,1.67332E+12,17185.73,17208.17,17172.47,17205.72,5509.67537,1.67332E+12,94719448.61,153586,2732.91016,46983317.32,0
3356,2023/1/10 4:00,1.67332E+12,17205.31,17222.5,17196.04,17221.68,6465.17667,1.67333E+12,111250212.2,164355,3221.75792,55440493.82,0
3357,2023/1/10 5:00,1.67333E+12,17222.05,17233.91,17207.05,17228.77,5477.38412,1.67333E+12,94318685.59,151834,2658.50503,45779527.83,0
3358,2023/1/10 6:00,1.67333E+12,17228.66,17233.5,17189.15,17203.95,7243.88623,1.67333E+12,124667928.1,159581,3611.93769,62162513.89,0
3359,2023/1/10 7:00,1.67333E+12,17203.95,17211,17192,17203.2,6803.12603,1.67334E+12,117023650.3,152188,3272.09647,56285165.38,0
3360,2023/1/10 8:00,1.67334E+12,17203.2,17270.69,17187.73,17256.34,10065.10708,1.67334E+12,173467912.5,243440,5083.75925,87616191.5,0
3361,2023/1/10 9:00,1.67334E+12,17256.34,17277.87,17242.12,17247.71,7103.67661,1.67334E+12,122592287.3,197362,3419.30436,59010969.96,0
3362,2023/1/10 10:00,1.67334E+12,17247.71,17276.6,17233.48,17271.02,6781.4259,1.67335E+12,117024100.6,190461,3389.39072,58490196.31,0
3363,2023/1/10 11:00,1.67335E+12,17271.02,17286.02,17250.95,17252.89,7132.79462,1.67335E+12,123151039.8,199425,3360.71198,58026669.16,0
3364,2023/1/10 12:00,1.67335E+12,17252.89,17257.19,17218.44,17224.15,8319.09891,1.67336E+12,143402680.2,215520,3954.01703,68159985.2,0
3365,2023/1/10 13:00,1.67336E+12,17224.15,17255.55,17212.14,17246.05,8539.8137,1.67336E+12,147171813.2,229053,4142.95566,71399389.49,0
3366,2023/1/10 14:00,1.67336E+12,17246.45,17326.07,17220,17286.59,21263.07475,1.67336E+12,367250875.4,433753,10387.33263,179412919.8,0
3367,2023/1/10 15:00,1.67336E+12,17287.01,17375,17271.38,17327.7,19401.38074,1.67337E+12,335989089.5,421884,9440.1217,163481439.6,0
3368,2023/1/10 16:00,1.67337E+12,17327.7,17341.97,17282,17302.15,10943.41192,1.67337E+12,189491985,291866,5332.65912,92337883.96,0
3369,2023/1/10 17:00,1.67337E+12,17302.55,17339.29,17287.11,17325.97,7038.14912,1.67337E+12,121869749,206584,3577.2376,61943468.91,0
3370,2023/1/10 18:00,1.67337E+12,17325.61,17443.95,17323.02,17433.95,14841.37941,1.67338E+12,258087087.4,315553,7830.60901,136168656.3,0
3371,2023/1/10 19:00,1.67338E+12,17433.7,17456.07,17398.28,17432.85,10256.876,1.67338E+12,178773188.8,263019,5047.20767,87974366.38,0
3372,2023/1/10 20:00,1.67338E+12,17432.85,17495.69,17405.3,17477.15,12015.24942,1.67338E+12,209712851.2,288308,6030.63666,105262115.3,0
3373,2023/1/10 21:00,1.67338E+12,17477.95,17499,17448.75,17463.56,7080.33103,1.67339E+12,123667422.5,206084,3457.84796,60398644.09,0
3374,2023/1/10 22:00,1.67339E+12,17463.86,17464.56,17418.98,17428.08,6677.99954,1.67339E+12,116455318.4,182066,3353.74246,58485467.76,0
3375,2023/1/10 23:00,1.67339E+12,17428.08,17444.97,17403.73,17440.66,6986.91491,1.6734E+12,121772387.8,184415,3434.15209,59853220.69,0
3376,2023/1/11 0:00,1.6734E+12,17440.64,17502.83,17428.37,17466.02,8526.37461,1.6734E+12,148854872.6,207663,4241.48153,74049447.59,0
3377,2023/1/11 1:00,1.6734E+12,17466.02,17510,17436.03,17458.05,8068.79008,1.6734E+12,140955987,211772,4030.31611,70408679.8,0
3378,2023/1/11 2:00,1.6734E+12,17458.49,17462.7,17383.08,17388.2,7948.58416,1.67341E+12,138498236.7,206592,3860.64783,67268879.91,0
3379,2023/1/11 3:00,1.67341E+12,17387.67,17425.2,17366.58,17416.14,7402.73595,1.67341E+12,128820267.6,192258,3720.41889,64742999.73,0
3380,2023/1/11 4:00,1.67341E+12,17416.49,17425.42,17391,17408.39,5250.33415,1.67341E+12,91409496.83,171601,2633.55247,45851486.17,0
